Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
The Other Side of the Wind,2018,R,02 Nov 2018,122 min,Drama,Orson Welles,"Orson Welles, Oja Kodar","John Huston, Oja Kodar, Peter Bogdanovich","At a media-swamped party to celebrate his 70th birthday and screen his avant-garde film-in-progress, a legendary but jaded Hollywood director is faced both with voracious fans and unsettling questions about what became of his lead...","English, German","France, Iran, United States",9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNDg5NTQ0NDU1Nl5BMl5BanBnXkFtZTgwMTExNzIyNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80.0,6.7,"8,350",tt0069049,movie,,,,,tt0069049,122.0,6.7,8350.0,80.0,2018
The Exorcist,1973,R,26 Dec 1973,122 min,Horror,William Friedkin,William Peter Blatty,"Ellen Burstyn, Max von Sydow, Linda Blair","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","English, Latin, Greek, French, German, Arabic, Kurdish",United States,Won 2 Oscars. 18 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83.0,8.1,"490,654",tt0070047,movie,,"$233,005,644",,,tt0070047,122.0,8.1,490654.0,83.0,1973
Manoranjan,1974,,11 Jan 1974,158 min,"Comedy, Musical, Romance",Shammi Kapoor,Abrar Alvi,"Shammi Kapoor, Sanjeev Kumar, Zeenat Aman","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BYTkwNjhlNmMtZjYzMi00Njc0LTkwNmMtNDMxMTFmOGYxYzJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,288,tt0071811,movie,,,,,tt0071811,158.0,6.5,288.0,,1974
Monty Python and the Holy Grail,1975,PG,18 Jul 1975,91 min,"Adventure, Comedy, Fantasy","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle","Graham Chapman, John Cleese, Eric Idle","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","English, French, Latin, Swedish",United Kingdom,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91.0,8.2,"596,420",tt0071853,movie,,"$2,562,392",,,tt0071853,91.0,8.2,596420.0,91.0,1975
Return of the Prodigal Son,1978,,24 Sep 1976,120 min,"Crime, Drama, Musical","Youssef Chahine, Farouk Beloufa","Farouk Beloufa, Youssef Chahine, Salah Jahine","Mahmoud Al Meleji, Huda Sultan, Shukri Sarhan","Freed after spending 12 years in jail, a man's homecoming turns into a dark affair as his disillusion clashes with his family expectations.",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BODUxYjQ4YjEtZDI5Ni00MDk3LTkzNzYtMTFjZDk1NTA2NTI1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,977,tt0074168,movie,,,,,tt0074168,120.0,7.1,977.0,,1978
Taxi Driver,1976,R,09 Feb 1976,114 min,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","English, Spanish",United States,Nominated for 4 Oscars. 22 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94.0,8.2,"1,000,221",tt0075314,movie,,"$28,262,574",,,tt0075314,114.0,8.2,1000221.0,94.0,1976
Alexandria... Why?,1979,Not Rated,18 Jun 2021,133 min,Drama,Youssef Chahine,"Youssef Chahine, Mohsen Zayed","Naglaa Fathi, Ahmed Zaki, Farid Shawqi","Yehia is a young man living in the cosmopolitan Alexandria during World War II. Inspired by American movies and Shakespeare, he aspires to be an actor, but struggles to pursue his Hollywood dream, given the constraints of his life...","Arabic, English","Egypt, Algeria",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYjcxZDA3ZjYtNDYyMi00NjYxLTgzNTItYmIzYTNhMjlhZmRmXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"1,983",tt0077751,movie,,,,,tt0077751,133.0,7.2,1983.0,,1979
Monty Python's Life of Brian,1979,R,17 Aug 1979,94 min,Comedy,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam","Graham Chapman, John Cleese, Michael Palin","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","English, Latin",United Kingdom,,https://m.media-amazon.com/images/M/MV5BNDMzY2E4NjEtMTJiZC00Y2UzLWFiM2MtZWVhNTg5OGQxNjk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77.0,8.0,"431,314",tt0079470,movie,,"$20,206,622",,,tt0079470,94.0,8.0,431314.0,77.0,1979
Adventures of Ali-Baba and the Forty Thieves,1980,,29 May 1980,138 min,"Action, Adventure, Family","Latif Faiziyev, Umesh Mehra","Shanti Prakash Bakshi, Boris Saakov, Javed Siddiqui","Dharmendra, Hema Malini, Zeenat Aman","Alibaba, (Dharmendra) a native of Guleba is in love with Marjina (Hema Malini). The town has a ruler, Abu Hasan. Guleban is terrorized by dacoits. Ali Baba hears the password to the door of the cave of the dacoits and takes a lot ...","Hindi, Russian","Soviet Union, India",,https://m.media-amazon.com/images/M/MV5BNmMyOWFjOWUtYWZmYy00M2RiLWFmMTUtYzQ4YWNlZmRhNDQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,670,tt0079749,movie,,,,,tt0079749,138.0,6.2,670.0,,1980
Richard Pryor: Live in Concert,1979,Not Rated,26 Jan 1979,78 min,"Documentary, Comedy",Jeff Margolis,"Paul Mooney, Richard Pryor","Richard Pryor, Patti LaBelle, Huey P. Newton","Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target -- himself.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjk4NDYzZTMtZjMxZC00NGZiLThhZDctZjBhZmE0NDhmOTNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,8.0,"5,938",tt0079807,movie,,,,,tt0079807,78.0,8.0,5938.0,,1979
Lupin III: The Castle of Cagliostro,1979,PG-13,15 Dec 1979,102 min,"Animation, Adventure, Comedy",Hayao Miyazaki,"Monkey Punch, Maurice Leblanc, Hayao Miyazaki","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi","A dashing thief, his gang of desperadoes and an intrepid cop struggle to free a princess from an evil count, and learn the secret of a treasure that she holds part of the key to.","Japanese, English, French",Japan,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjQwZWNkMTYtYTU2Ny00YzgyLTljYTMtNjc0MjRkNWY5NDM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.6,"35,395",tt0079833,movie,,"$142,425",,,tt0079833,102.0,7.6,35395.0,72.0,1979
The Blue Lagoon,1980,R,02 Jul 1980,104 min,"Adventure, Drama, Romance",Randal Kleiser,"Henry De Vere Stacpoole, Douglas Day Stewart","Brooke Shields, Christopher Atkins, Leo McKern","During the Victorian period, two preteen cousins are shipwrecked on a tropical island in the South Pacific and enjoy a simple life together until puberty complicates matters.",English,"United States, Fiji, Jamaica",Nominated for 1 Oscar. 4 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWJiNTViMTUtNzAwNy00OGNkLWI2NzQtYWFiNTBmMjA4ODI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,5.8,"81,746",tt0080453,movie,,"$58,853,106",,,tt0080453,104.0,5.8,81746.0,31.0,1980
Dostana,1980,Not Rated,17 Oct 1980,152 min,"Action, Crime, Drama",Raj Khosla,"Javed Akhtar, Salim Khan","Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman","Two best friends, Vijay and Ravi, fall in love with the same girl, Sheetal. Misunderstandings due to their respective careers and people with vested interests cause them to become rivals.",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BYjZlNjYwODYtMjZlMy00N2YxLTliNzQtZWVjZTVlOGI3ODg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,"1,145",tt0080653,movie,,,,,tt0080653,152.0,6.4,1145.0,,1980
The Long Riders,1980,R,16 May 1980,100 min,"Biography, Crime, Drama",Walter Hill,"Bill Bryden, Steven Smith, Stacy Keach","David Carradine, Stacy Keach, Dennis Quaid","The origins, exploits and the ultimate fate of the Jesse James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.","English, Swedish",United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BOGE5MDI5NDItM2Y0Yi00MzczLWE4NWMtNThjNzNkMmMyZjkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,6.9,"13,976",tt0081071,movie,,"$15,795,189",,,tt0081071,100.0,6.9,13976.0,68.0,1980
Endless Love,1981,R,17 Jul 1981,116 min,"Drama, Romance",Franco Zeffirelli,"Scott Spencer, Judith Rascoe","Brooke Shields, Martin Hewitt, Shirley Knight","Parental disapproval of a passionate romance between teenagers Jade Butterfield and David Axelrod leads to arguments, circumstance, insanity and tragedy.",English,United States,Nominated for 1 Oscar. 3 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMThjYmFiNzgtNDE4Ni00NGM4LWEwMTctMmYxNGE1NDlkMzE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,4.9,"10,329",tt0082329,movie,,"$31,184,024",,,tt0082329,116.0,4.9,10329.0,30.0,1981
Annie,1982,PG,18 Jun 1982,127 min,"Comedy, Drama, Family",John Huston,"Carol Sobieski, Thomas Meehan, Martin Charnin","Albert Finney, Carol Burnett, Ann Reinking","A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",English,United States,Nominated for 2 Oscars. 3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BZjQzOGJkNTAtYzY3NS00ZjViLWI4OTMtZTdkNzRjYWRmOTUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,6.6,"52,592",tt0083564,movie,,"$57,059,003",,,tt0083564,127.0,6.6,52592.0,39.0,1982
An Egyptian Story,1982,TV-MA,03 Aug 1983,115 min,Drama,Youssef Chahine,Youssef Chahine,"Oussama Nadir, Mohsen Mohieddin, Nour El-Sherif","In the middle of his own heart surgery, an Egyptian filmmaker remembers his life. In fact his old self, as a child, is accused of the attempted murder of his new self. Through the metaphoric trial, we are drawn into his life in re...","Arabic, English",Egypt,1 nomination total,https://m.media-amazon.com/images/M/MV5BYzc4ZjYwZTQtZjU5Yy00MDUyLTkzMGQtM2QyNzU5YjI0ZDg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.3,"1,370",tt0084042,movie,,,,,tt0084042,115.0,7.3,1370.0,,1982
Monty Python Live at the Hollywood Bowl,1982,R,25 Jun 1982,81 min,"Documentary, Comedy, Musical","Terry Hughes, Ian MacNaughton","Graham Chapman, John Cleese, Terry Gilliam","John Cleese, Michael Palin, Eric Idle",The Monty Python troupe perform a combination of classic sketches and new material at the Hollywood Bowl.,English,"United Kingdom, United States",,https://m.media-amazon.com/images/M/MV5BZDJjMGZlYjktNjhhMC00Mjg5LTg1MzEtMjUyYjc3NmY3MjZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"16,134",tt0084352,movie,,"$327,958",,,tt0084352,81.0,7.8,16134.0,,1982
Little Wars,1982,,09 Feb 1983,108 min,"Drama, War",Maroun Bagdadi,"Maroun Bagdadi, Kamal Kassar","Soraya Khoury, Nabil Ismaïl, Roger Hawa","Lebanon, 1975. How Tahal, an affluent young man becomes a warlord ; how Soraya, the girl he leaves behind, tries to help him in abducting a businessman ; how Nabil, a press photographer deals drugs under the cover of the civil war...","French, Arabic","France, Lebanon",,https://m.media-amazon.com/images/M/MV5BMTYwOWY0MzMtMDM0Yy00Mjg2LThhZDAtZWI4NTNlNDM1NTMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,199,tt0084492,movie,,,,,tt0084492,108.0,6.1,199.0,,1982
Christine,1983,R,09 Dec 1983,110 min,"Horror, Thriller",John Carpenter,"Stephen King, Bill Phillips","Keith Gordon, John Stockwell, Alexandra Paul",A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,"English, Spanish, French",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYTQxZjlhNzUtMGJkMS00ODMwLWI0NzMtZGZiYzRmODE5ODI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.8,"100,463",tt0085333,movie,,"$21,017,849",,,tt0085333,110.0,6.8,100463.0,57.0,1983
A Nightmare on Elm Street,1984,R,16 Nov 1984,91 min,Horror,Wes Craven,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund","Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea...",English,United States,7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNTZmN2VlMWMtMTdlMi00NDBhLWIyODMtODEwMzM0ODMwMWYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76.0,7.4,"286,563",tt0087800,movie,,"$25,624,448",,,tt0087800,91.0,7.4,286563.0,76.0,1984
