Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id
Bonnie and Clyde,1967,R,14 Aug 1967,111 min,"Action, Biography, Crime",Arthur Penn,"David Newman, Robert Benton, Robert Towne","Warren Beatty, Faye Dunaway, Michael J. Pollard","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",English,United States,Won 2 Oscars. 22 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYWI3ZmM1NmEtMDk4Yi00MzYzLTk0MDctYWJlZjY4MGViNDFiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.7,"124,683",tt0061418,movie,N/A,N/A,N/A,N/A,tt0061418
Prince,1969,N/A,N/A,N/A,"Musical, Romance",Lekh Tandon,Abrar Alvi,"Shammi Kapoor, Vyjayanthimala, Rajendranath Malhotra","A rich prince who lives in luxury wants to attain inner peace. He leaves his riches to become an ordinary villager and from there on, his adventure begins.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYTUyN2IzZGItOTJlZS00ZTJjLWEwNjQtYTFjZmY3MGZmNTNiXkEyXkFqcGdeQXVyMjMzMzc0MjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,218,tt0064842,movie,N/A,N/A,N/A,N/A,tt0064842
Dirty Harry,1971,R,23 Dec 1971,102 min,"Action, Crime, Thriller","Don Siegel, Clint Eastwood","Harry Julian Fink, Rita M. Fink, Dean Riesner","Clint Eastwood, Andrew Robinson, Harry Guardino","When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.",English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BYzNmOWVjN2ItMTQzOS00MTI4LTgxZDItMmZjNTVlMjY5Mjc1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.7,"177,905",tt0066999,movie,N/A,"$35,988,495",N/A,N/A,tt0066999
FTA,1972,R,22 Nov 1972,103 min,"Documentary, Comedy, Music",Francine Parker,"Michael Alaimo, Len Chandler, Pamela Donegan","Jane Fonda, Donald Sutherland, Pamela Donegan","Available for the first time since it mysteriously disappeared in 1972 after only one week in theaters, this raucous film is a riveting slice of the Vietnam anti-war movement.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODNmNmMwMDYtYmE0Mi00MGFkLTliMDgtNjk0YTFjNTc4NzA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.4,498,tt0068562,movie,N/A,N/A,N/A,N/A,tt0068562
The Other Side of the Wind,2018,R,02 Nov 2018,122 min,Drama,Orson Welles,"Orson Welles, Oja Kodar","John Huston, Oja Kodar, Peter Bogdanovich","At a media-swamped party to celebrate his 70th birthday and screen his avant-garde film-in-progress, a legendary but jaded Hollywood director is faced both with voracious fans and unsettling questions about what became of his lead...","English, German","France, Iran, United States",9 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNDg5NTQ0NDU1Nl5BMl5BanBnXkFtZTgwMTExNzIyNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,6.7,"8,350",tt0069049,movie,N/A,N/A,N/A,N/A,tt0069049
The Exorcist,1973,R,26 Dec 1973,122 min,Horror,William Friedkin,William Peter Blatty,"Ellen Burstyn, Max von Sydow, Linda Blair","When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.","English, Latin, Greek, French, German, Arabic, Kurdish",United States,Won 2 Oscars. 18 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZjg3YjE4ZjAtYTdmYS00ZTBkLWE1ZjgtNzAzODUwNzRiYjlmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,8.1,"486,836",tt0070047,movie,N/A,"$233,005,644",N/A,N/A,tt0070047
Manoranjan,1974,N/A,11 Jan 1974,158 min,"Comedy, Musical, Romance",Shammi Kapoor,Abrar Alvi,"Shammi Kapoor, Sanjeev Kumar, Zeenat Aman","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BYTkwNjhlNmMtZjYzMi00Njc0LTkwNmMtNDMxMTFmOGYxYzJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,288,tt0071811,movie,N/A,N/A,N/A,N/A,tt0071811
Monty Python and the Holy Grail,1975,PG,18 Jul 1975,91 min,"Adventure, Comedy, Fantasy","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle","Graham Chapman, John Cleese, Eric Idle","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","English, French, Latin, Swedish",United Kingdom,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.2,"596,420",tt0071853,movie,N/A,"$2,562,392",N/A,N/A,tt0071853
Return of the Prodigal Son,1978,N/A,24 Sep 1976,120 min,"Crime, Drama, Musical","Youssef Chahine, Farouk Beloufa","Farouk Beloufa, Youssef Chahine, Salah Jahine","Mahmoud Al Meleji, Huda Sultan, Shukri Sarhan","Freed after spending 12 years in jail, a man's homecoming turns into a dark affair as his disillusion clashes with his family expectations.",Arabic,Egypt,N/A,https://m.media-amazon.com/images/M/MV5BODUxYjQ4YjEtZDI5Ni00MDk3LTkzNzYtMTFjZDk1NTA2NTI1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,977,tt0074168,movie,N/A,N/A,N/A,N/A,tt0074168
Taxi Driver,1976,R,09 Feb 1976,114 min,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","English, Spanish",United States,Nominated for 4 Oscars. 22 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",94,8.2,"1,000,221",tt0075314,movie,N/A,"$28,262,574",N/A,N/A,tt0075314
Alexandria... Why?,1979,Not Rated,18 Jun 2021,133 min,Drama,Youssef Chahine,"Youssef Chahine, Mohsen Zayed","Naglaa Fathi, Ahmed Zaki, Farid Shawqi","Yehia is a young man living in the cosmopolitan Alexandria during World War II. Inspired by American movies and Shakespeare, he aspires to be an actor, but struggles to pursue his Hollywood dream, given the constraints of his life...","Arabic, English","Egypt, Algeria",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYjcxZDA3ZjYtNDYyMi00NjYxLTgzNTItYmIzYTNhMjlhZmRmXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"1,983",tt0077751,movie,N/A,N/A,N/A,N/A,tt0077751
Monty Python's Life of Brian,1979,R,17 Aug 1979,94 min,Comedy,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam","Graham Chapman, John Cleese, Michael Palin","Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","English, Latin",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNDMzY2E4NjEtMTJiZC00Y2UzLWFiM2MtZWVhNTg5OGQxNjk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,8.0,"431,314",tt0079470,movie,N/A,"$20,206,622",N/A,N/A,tt0079470
Adventures of Ali-Baba and the Forty Thieves,1980,N/A,29 May 1980,138 min,"Action, Adventure, Family","Latif Faiziyev, Umesh Mehra","Shanti Prakash Bakshi, Boris Saakov, Javed Siddiqui","Dharmendra, Hema Malini, Zeenat Aman","Alibaba, (Dharmendra) a native of Guleba is in love with Marjina (Hema Malini). The town has a ruler, Abu Hasan. Guleban is terrorized by dacoits. Ali Baba hears the password to the door of the cave of the dacoits and takes a lot ...","Hindi, Russian","Soviet Union, India",N/A,https://m.media-amazon.com/images/M/MV5BNmMyOWFjOWUtYWZmYy00M2RiLWFmMTUtYzQ4YWNlZmRhNDQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,670,tt0079749,movie,N/A,N/A,N/A,N/A,tt0079749
Richard Pryor: Live in Concert,1979,Not Rated,26 Jan 1979,78 min,"Documentary, Comedy",Jeff Margolis,"Paul Mooney, Richard Pryor","Richard Pryor, Patti LaBelle, Huey P. Newton","Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target -- himself.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjk4NDYzZTMtZjMxZC00NGZiLThhZDctZjBhZmE0NDhmOTNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,8.0,"5,938",tt0079807,movie,N/A,N/A,N/A,N/A,tt0079807
Lupin III: The Castle of Cagliostro,1979,PG-13,15 Dec 1979,102 min,"Animation, Adventure, Comedy",Hayao Miyazaki,"Monkey Punch, Maurice Leblanc, Hayao Miyazaki","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi","A dashing thief, his gang of desperadoes and an intrepid cop struggle to free a princess from an evil count, and learn the secret of a treasure that she holds part of the key to.","Japanese, English, French",Japan,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjQwZWNkMTYtYTU2Ny00YzgyLTljYTMtNjc0MjRkNWY5NDM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"35,395",tt0079833,movie,N/A,"$142,425",N/A,N/A,tt0079833
The Blue Lagoon,1980,R,02 Jul 1980,104 min,"Adventure, Drama, Romance",Randal Kleiser,"Henry De Vere Stacpoole, Douglas Day Stewart","Brooke Shields, Christopher Atkins, Leo McKern","During the Victorian period, two preteen cousins are shipwrecked on a tropical island in the South Pacific and enjoy a simple life together until puberty complicates matters.",English,"United States, Fiji, Jamaica",Nominated for 1 Oscar. 4 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYWJiNTViMTUtNzAwNy00OGNkLWI2NzQtYWFiNTBmMjA4ODI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.8,"81,746",tt0080453,movie,N/A,"$58,853,106",N/A,N/A,tt0080453
Dostana,1980,Not Rated,17 Oct 1980,152 min,"Action, Crime, Drama",Raj Khosla,"Javed Akhtar, Salim Khan","Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman","Two best friends, Vijay and Ravi, fall in love with the same girl, Sheetal. Misunderstandings due to their respective careers and people with vested interests cause them to become rivals.",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BYjZlNjYwODYtMjZlMy00N2YxLTliNzQtZWVjZTVlOGI3ODg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"1,145",tt0080653,movie,N/A,N/A,N/A,N/A,tt0080653
The Long Riders,1980,R,16 May 1980,100 min,"Biography, Crime, Drama",Walter Hill,"Bill Bryden, Steven Smith, Stacy Keach","David Carradine, Stacy Keach, Dennis Quaid","The origins, exploits and the ultimate fate of the Jesse James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.","English, Swedish",United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BOGE5MDI5NDItM2Y0Yi00MzczLWE4NWMtNThjNzNkMmMyZjkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.9,"13,976",tt0081071,movie,N/A,"$15,795,189",N/A,N/A,tt0081071
Endless Love,1981,R,17 Jul 1981,116 min,"Drama, Romance",Franco Zeffirelli,"Scott Spencer, Judith Rascoe","Brooke Shields, Martin Hewitt, Shirley Knight","Parental disapproval of a passionate romance between teenagers Jade Butterfield and David Axelrod leads to arguments, circumstance, insanity and tragedy.",English,United States,Nominated for 1 Oscar. 3 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMThjYmFiNzgtNDE4Ni00NGM4LWEwMTctMmYxNGE1NDlkMzE0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,4.9,"10,329",tt0082329,movie,N/A,"$31,184,024",N/A,N/A,tt0082329
Annie,1982,PG,18 Jun 1982,127 min,"Comedy, Drama, Family",John Huston,"Carol Sobieski, Thomas Meehan, Martin Charnin","Albert Finney, Carol Burnett, Ann Reinking","A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",English,United States,Nominated for 2 Oscars. 3 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BZjQzOGJkNTAtYzY3NS00ZjViLWI4OTMtZTdkNzRjYWRmOTUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.6,"52,592",tt0083564,movie,N/A,"$57,059,003",N/A,N/A,tt0083564
An Egyptian Story,1982,TV-MA,03 Aug 1983,115 min,Drama,Youssef Chahine,Youssef Chahine,"Oussama Nadir, Mohsen Mohieddin, Nour El-Sherif","In the middle of his own heart surgery, an Egyptian filmmaker remembers his life. In fact his old self, as a child, is accused of the attempted murder of his new self. Through the metaphoric trial, we are drawn into his life in re...","Arabic, English",Egypt,1 nomination total,https://m.media-amazon.com/images/M/MV5BYzc4ZjYwZTQtZjU5Yy00MDUyLTkzMGQtM2QyNzU5YjI0ZDg1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.3,"1,370",tt0084042,movie,N/A,N/A,N/A,N/A,tt0084042
Monty Python Live at the Hollywood Bowl,1982,R,25 Jun 1982,81 min,"Documentary, Comedy, Musical","Terry Hughes, Ian MacNaughton","Graham Chapman, John Cleese, Terry Gilliam","John Cleese, Michael Palin, Eric Idle",The Monty Python troupe perform a combination of classic sketches and new material at the Hollywood Bowl.,English,"United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BZDJjMGZlYjktNjhhMC00Mjg5LTg1MzEtMjUyYjc3NmY3MjZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"16,134",tt0084352,movie,N/A,"$327,958",N/A,N/A,tt0084352
Little Wars,1982,N/A,09 Feb 1983,108 min,"Drama, War",Maroun Bagdadi,"Maroun Bagdadi, Kamal Kassar","Soraya Khoury, Nabil Ismaïl, Roger Hawa","Lebanon, 1975. How Tahal, an affluent young man becomes a warlord ; how Soraya, the girl he leaves behind, tries to help him in abducting a businessman ; how Nabil, a press photographer deals drugs under the cover of the civil war...","French, Arabic","France, Lebanon",N/A,https://m.media-amazon.com/images/M/MV5BMTYwOWY0MzMtMDM0Yy00Mjg2LThhZDAtZWI4NTNlNDM1NTMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,199,tt0084492,movie,N/A,N/A,N/A,N/A,tt0084492
Christine,1983,R,09 Dec 1983,110 min,"Horror, Thriller",John Carpenter,"Stephen King, Bill Phillips","Keith Gordon, John Stockwell, Alexandra Paul",A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,"English, Spanish, French",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYTQxZjlhNzUtMGJkMS00ODMwLWI0NzMtZGZiYzRmODE5ODI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.8,"100,463",tt0085333,movie,N/A,"$21,017,849",N/A,N/A,tt0085333
A Nightmare on Elm Street,1984,R,16 Nov 1984,91 min,Horror,Wes Craven,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund","Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea...",English,United States,7 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNTZmN2VlMWMtMTdlMi00NDBhLWIyODMtODEwMzM0ODMwMWYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",76,7.4,"283,102",tt0087800,movie,N/A,"$25,624,448",N/A,N/A,tt0087800
