index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,runtime_omdb_min,imdbVotes_clean,imdbRating_clean
11,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,"After a successful robbery leaves famed thief Lupin the Third and his partner Jigen with nothing but a large amount of expertly crafted counterfeit bills, he decides to track down the forgers responsibleâ€”and steal any other treasures he may find in the Castle of Cagliostro, including the 'damsel in distress' he finds imprisoned there.",1979,PG,100,tt0079833,7.6,30277.0,Lupin III: The Castle of Cagliostro,1979,PG-13,15 Dec 1979,102 min,"Animation, Adventure, Comedy",Hayao Miyazaki,"Monkey Punch, Maurice Leblanc, Hayao Miyazaki","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi","A dashing thief, his gang of desperadoes and an intrepid cop struggle to free a princess from an evil count, and learn the secret of a treasure that she holds part of the key to.","Japanese, English, French",Japan,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjQwZWNkMTYtYTU2Ny00YzgyLTljYTMtNjc0MjRkNWY5NDM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,7.6,"35,395",tt0079833,movie,,"$142,425",,,102.0,35395.0,7.6
12,tm69997,Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite targetâ€”himself, live at the Terrace Theatre in Long Beach, California.",1979,R,78,tt0079807,8.1,5141.0,Richard Pryor: Live in Concert,1979,Not Rated,26 Jan 1979,78 min,"Documentary, Comedy",Jeff Margolis,"Paul Mooney, Richard Pryor","Richard Pryor, Patti LaBelle, Huey P. Newton","Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target -- himself.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjk4NDYzZTMtZjMxZC00NGZiLThhZDctZjBhZmE0NDhmOTNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,8.0,"5,938",tt0079807,movie,,,,,78.0,5938.0,8.0
13,tm96649,The Long Riders,MOVIE,"The origins, exploits and the ultimate fate of the James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",1980,R,99,tt0081071,6.9,11329.0,The Long Riders,1980,R,16 May 1980,100 min,"Biography, Crime, Drama",Walter Hill,"Bill Bryden, Steven Smith, Stacy Keach","David Carradine, Stacy Keach, Dennis Quaid","The origins, exploits and the ultimate fate of the Jesse James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.","English, Swedish",United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BOGE5MDI5NDItM2Y0Yi00MzczLWE4NWMtNThjNzNkMmMyZjkyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,6.9,"13,976",tt0081071,movie,,"$15,795,189",,,100.0,13976.0,6.9
14,tm16479,White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,,115,tt0047673,7.5,42373.0,White Christmas,1954,Approved,05 Nov 1954,120 min,"Comedy, Musical, Romance",Michael Curtiz,"Norman Krasna, Norman Panama, Melvin Frank","Bing Crosby, Danny Kaye, Rosemary Clooney",A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,English,United States,Nominated for 1 Oscar. 2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzZlOTBmZDgtMWIwMS00YTNlLTllNWYtZTk1MmY0ZWU3MzQzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56.0,7.6,"55,759",tt0047673,movie,,"$2,800,094",,,120.0,55759.0,7.6
15,tm135083,Cairo Station,MOVIE,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,,77,tt0051390,7.5,4385.0,Cairo Station,1958,Not Rated,20 Jan 1958,77 min,"Crime, Drama",Youssef Chahine,"Abdel Hai Adib, Mohamed Abu Youssef","Farid Shawqi, Hind Rustum, Youssef Chahine",A newspaper salesman at the train station in Cairo develops an unhealthy obsession with a woman who sells refreshments.,Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYTRjN2JiMGUtMGM4YS00OWIxLWE5YTItNTkxYWNlN2ExY2UyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.5,"5,565",tt0051390,movie,,,,,77.0,5565.0,7.5
16,tm14491,The Queen,MOVIE,"In 1967, New York City is host to the Miss All-American Camp Beauty Pageant. This documentary takes a look behind the scenes, transporting the viewer into rehearsals and dressing rooms as the drag queen subculture prepares for this big national beauty contest. Jack/Sabrina is the mistress of ceremonies, and their protÃ©gÃ©, Miss Harlow, is in the competition. But, as the pageant approaches, the glamorous contestants veer from camaraderie to tension.",1968,,68,tt0183686,7.2,1117.0,#DUPE#,1968,,,,,,,,,,,,,[],,,,tt0063477,movie,,,,,,,
17,tm89386,Hitler: A Career,MOVIE,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,PG,150,tt0191182,7.5,2416.0,Hitler: A Career,1977,Not Rated,08 Jul 1977,150 min,"Documentary, History","Joachim Fest, Christian Herrendoerfer",Joachim Fest,"Gert Westphal, Stephen Murray, Artur Axmann","This meticulously assembled film dissects the Third Reich with an analytical blade, charting Hitler's improbable rise, his mastery of crowd psychology and his consummate skill in exploiting others' weaknesses.",German,West Germany,,https://m.media-amazon.com/images/M/MV5BNjIxMmZkOTQtMWEzNC00OGZmLWJiOTUtMGVkNjkzNzA3Mjg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"3,191",tt0191182,movie,,,,,150.0,3191.0,7.5
18,tm156453,FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,97,tt0068562,6.2,411.0,FTA,1972,R,22 Nov 1972,103 min,"Documentary, Comedy, Music",Francine Parker,"Michael Alaimo, Len Chandler, Pamela Donegan","Jane Fonda, Donald Sutherland, Pamela Donegan","Available for the first time since it mysteriously disappeared in 1972 after only one week in theaters, this raucous film is a riveting slice of the Vietnam anti-war movement.",English,United States,,https://m.media-amazon.com/images/M/MV5BODNmNmMwMDYtYmE0Mi00MGFkLTliMDgtNjk0YTFjNTc4NzA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75.0,6.4,498,tt0068562,movie,,,,,103.0,498.0,6.4
19,tm27298,Saladin the Victorious,MOVIE,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,,186,tt0057357,7.6,2470.0,Saladin,1963,TV-MA,25 Feb 1963,194 min,"Action, Adventure, Biography",Youssef Chahine,"Mohamed Abdel Gawad, Youssef Chahine, Abderrahman Charkawi","Ahmad Mazhar, Salah Zulfikar, Nadia Lutfi","After Saladin's victory over the King of Jerusalem, a peace treaty is signed between them, but the commander of the Crusader army, Renaud de Chatillon, slaughters a group of pilgrims going to Mecca. Saladin then decides to take re...",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BYjU5YzlkMjMtZDFjZC00MGZlLTllNmYtMDUxYTYzOTI5MTljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"2,924",tt0057357,movie,05 Jan 2010,,,,194.0,2924.0,7.5
20,tm356209,Singapore,MOVIE,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,,158,tt0268639,6.4,82.0,Singapore,1960,,,135 min,"Crime, Thriller",Shakti Samanta,"Vrajendra Gaur, Qamar Jalalabadi, Surinder","Shammi Kapoor, Padmini, Maria Menado","When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Hindi,"India, Malaysia",,https://m.media-amazon.com/images/M/MV5BZDU5YTE4MWEtZDcwYy00YjViLWFkODktMWQzOTEzN2FjOWRmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,93,tt0268639,movie,,,,,135.0,93.0,6.4
21,tm204541,Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,,120,tt0049761,6.7,590.0,Dark Waters,1956,TV-14,16 Jan 1956,120 min,"Drama, Romance, Thriller",Youssef Chahine,"El Sayed Bedeir, Youssef Chahine, Lezait Fayed","Faten Hamamah, Omar Sharif, Ahmed Ramzy","After three years of absence, back (Recep) after a long travel trip spent on the back of one of the ships in an effort to save money in order to complete his marriage b (benign), who lives with his mother in a shack built on the s...",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BNmUyY2U1MzYtYmIxYi00MzRjLTg4ZjktNzRjYjQwYTlhMzVlXkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,760,tt0049761,movie,,,,,120.0,760.0,6.7
22,tm14350,Alexandriaâ€¦ Why?,MOVIE,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,,133,tt0077751,7.2,1689.0,Alexandria... Why?,1979,Not Rated,18 Jun 2021,133 min,Drama,Youssef Chahine,"Youssef Chahine, Mohsen Zayed","Naglaa Fathi, Ahmed Zaki, Farid Shawqi","Yehia is a young man living in the cosmopolitan Alexandria during World War II. Inspired by American movies and Shakespeare, he aspires to be an actor, but struggles to pursue his Hollywood dream, given the constraints of his life...","Arabic, English","Egypt, Algeria",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYjcxZDA3ZjYtNDYyMi00NjYxLTgzNTItYmIzYTNhMjlhZmRmXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"1,983",tt0077751,movie,,,,,133.0,1983.0,7.2
23,tm102287,Raya and Sakina,MOVIE,"Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's first ever case of serial killings, the police is relentless and assigns the case to their best inspector. He traces the leads to sisters Raya and Sekina, but it becomes a race against time before they kill again.",1953,,105,tt0316472,6.8,231.0,Raya wa Sekina,1953,,,81 min,"Crime, Drama, History",Salah Abouseif,"El Said Bedyr, Naguib Mahfouz","Anwar Wagdi, Negma Ibrahim, Farid Shawqi","Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's fir...",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BZWRjZWZkMDYtYjk1Yy00OTU1LWFjZDgtOWE1NTgzOWM5ZmI0XkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",,6.8,280,tt0316472,movie,,,,,81.0,280.0,6.8
25,tm71909,Amrapali,MOVIE,"After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",1966,,120,tt0060104,6.7,225.0,Amrapali,1966,,11 Sep 1966,119 min,"Fantasy, History",Lekh Tandon,"Arjun Dev Rashk, Balbir Singh, Omkar Sahib","Vyjayanthimala, Sunil Dutt, Premnath Malhotra","A victory over neighboring state Vaishai has always eluded Magadh Samrat Ajaatshatru despite being winning and taking control over all neighboring states. He attacks Vaishali only get defeated again. Wounded, lost and on the run, ...",Hindi,India,,https://m.media-amazon.com/images/M/MV5BNjM5NzUwNDctZDlmMC00MWIzLTgzZTItNDViNGMwODQxMzNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,288,tt0060104,movie,,,,,119.0,288.0,6.7
26,tm94651,Dostana,MOVIE,"Vijay and Ravi are best friends (hence the name 'Dostana') who do not even question each other about their careers. Vijay, a police officer and Ravi, a lawyer, while the former catches the criminals who smuggle, Ravi on the other hand bail those criminals, employed by Daaga. One day, both Vijay and Ravi meet Sheetal at different places and times, and both fancy the same girl, Sheetal, but Vijay's love was more serious. Ravi admits his love for Sheetal to Vijay and is devastated but Vijay decides to sacrifice his love and give Sheetal's hand. However, there was a misunderstanding when Daaga decided to stir up Vijay and Ravi's friendship by showing a photo of Vijay and Sheetal to Ravi. They became rivals for the first time and Ravi started to turn to be an enemy of Vijay. Do their friendship recover? Does Ravi get to know the truth? Do Sheetal get back with Vijay?",1980,,161,tt0080653,2.1,25.0,Dostana,1980,Not Rated,17 Oct 1980,152 min,"Action, Crime, Drama",Raj Khosla,"Javed Akhtar, Salim Khan","Amitabh Bachchan, Shatrughan Sinha, Zeenat Aman","Two best friends, Vijay and Ravi, fall in love with the same girl, Sheetal. Misunderstandings due to their respective careers and people with vested interests cause them to become rivals.",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BYjZlNjYwODYtMjZlMy00N2YxLTliNzQtZWVjZTVlOGI3ODg5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,"1,145",tt0080653,movie,,,,,152.0,1145.0,6.4
27,tm19608,The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,,100,tt0044429,7.4,1219.0,The Blazing Sun,1954,TV-14,01 Mar 1954,105 min,"Crime, Drama, Romance",Youssef Chahine,"Ali El Zorkani, Hilmi Halim","Faten Hamamah, Omar Sharif, Zaki Rostom","A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",Arabic,Egypt,1 nomination,https://m.media-amazon.com/images/M/MV5BNzdmZmVjNDgtNmVkMy00ZWRkLTgzNWItY2NlN2IxMmEwNDEzXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"1,546",tt0044429,movie,,,,,105.0,1546.0,7.2
