Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website
Pit Stop (2020),2020,N/A,01 May 2019,79 min,"Comedy, Horror",Jason Wright,Mr. Valents,"Bruce Payne, Gbola Adewunmi, Swaylee Loughnane","A rave in a deserted warehouse, the perfect place to introduce a NEW designer drug - right? Two young blokes, alongside two girls picked up en route, quickly discover just how wrong they were. With Users turning, blood gushing and...",English,United Kingdom,2 nominations,https://m.media-amazon.com/images/M/MV5BOTc4Njg3OWUtYjRjMS00MjlhLWE5NjEtNGQ2MTNkZGU5OGM0XkEyXkFqcGdeQXVyNTA0MTUwODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,536,tt7166170,movie,N/A,N/A,N/A,N/A
FCK 2020 - Zweieinhalb Jahre mit Scooter,2022,N/A,12 Jan 2023,113 min,"Documentary, Music",Cordula Kablitz-Post,N/A,"H.P. Baxxter, Michael Simon, Bastian Van Shield",N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BNTk1NGI3NWMtMzQ2NC00NTBlLWJmOTItMDAxNDRlYjdmZjY4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,353,tt14021830,movie,N/A,N/A,N/A,N/A
GQ Türkiye Sonbahar 2020 Kapak Çekimi: Kerem Bürsin,2020,N/A,06 Oct 2020,N/A,Short,N/A,N/A,Kerem Bürsin,"Kerem Bürsin, on the path of change, is on the cover of our collection issue From Roots to Sky. 'There is another possibility of Kerem Bürsin, and that is Kerem' and he is at GQ Türkiye Fall 2020 with everything he feels while cha...",Turkish,Turkey,N/A,https://m.media-amazon.com/images/M/MV5BMzA1NmFiNDUtMDM1NS00MDEyLWE2MTktZjIyNTdlYjNmNDgyXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,286,tt36647274,movie,N/A,N/A,N/A,N/A
Money in the Bank (2020),2020,TV-PG,10 May 2020,144 min,"Action, Sport",Kevin Dunn,Joe Bustos,"Nikola Bogojevic, AJ Styles, Tom Budgen",The superstars of the WWE will try to climb the corporate ladder to show who is the best.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjU0MjY0MWQtM2U0Yi00MWI3LTgwMGMtNzQ0NzU5OWE2NmM3XkEyXkFqcGdeQXVyOTA0NzE2MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,285,tt12163676,movie,N/A,N/A,N/A,N/A
Man 2020,2020,N/A,26 Apr 2020,2 min,"Animation, Short",Steve Cutts,N/A,N/A,"In 2020, man is quarantined. As a result, the nature restores itself and animals start enjoying more than ever.",N/A,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMWRhNDJhMmItM2E3Yy00MmQwLTlmODctYzFhNzY3OGNmZjJjXkEyXkFqcGdeQXVyOTQ4MDE3MDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,240,tt12498096,movie,N/A,N/A,N/A,N/A
Necromancer 2020,2019,N/A,14 Nov 2019,114 min,"Action, Fantasy, Horror",Piyapan Choopetch,"Piyapan Choopetch, Adirek Wattaleela","Kunticha Aiumsumoring, Akara Amarttayakul, Orawan Boonnitipaisit","Win has to master powerful sorcery to seek revenge against the people who attacked him for his father's amulet. However, a satanic cult gets in his way and corrupts his girlfriend's mind.",Thai,Thailand,N/A,https://m.media-amazon.com/images/M/MV5BMTJjM2FjYzQtYzQ0OS00NGEzLTgzNTEtYmQ2NmZkZDRjYzA2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,172,tt13597808,movie,N/A,N/A,N/A,N/A
On the Trail: Inside the 2020 Primaries,2020,N/A,06 Aug 2020,N/A,Documentary,N/A,N/A,"Daniella Diaz, Jordan Thompson, Jasmine Wright",Powerhouse female journalists against the backdrop of one of the wildest elections in American history.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzRiYWZiNmItNjRhYS00OWFhLWI1ZTktODMwMmUyYWVjZDEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.6,146,tt12759084,movie,N/A,N/A,N/A,N/A
2020 Oscar Nominated Short Films: Live Action,2020,Not Rated,31 Jan 2020,104 min,Drama,"Bryan Buckley, Marshall Curry, Delphine Girard",N/A,N/A,2020 Oscar Nominated Short Films Live Action: * A Sister * Brotherhood * The Neighbors' Window * Saria * Nefta Football Club,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNWZkY2I2YjMtNmRmNy00YWUwLTk0MmUtM2Q3YzY4OGYzMzQ1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.7,116,tt11696978,movie,N/A,N/A,N/A,N/A
In Sickness (2020),2020,N/A,29 Dec 2020,83 min,"Drama, Thriller",Julius B. Kelly,"Adam Johnson, Judy San Roman","Lukas Hassel, Nicole Vogt-Lowell, Sal Rendino","After you take your vows, what happens when the future is nothing like what you envisioned? As a man spirals deeper and deeper into his mental illness, his young wife is forced to question whether love really is enough.",English,United States,8 wins,https://m.media-amazon.com/images/M/MV5BMjE3MTgwMTY5OF5BMl5BanBnXkFtZTgwMzc4NTUwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,112,tt4823664,movie,N/A,N/A,N/A,N/A
2020 Nostradamus,2017,TV-14,N/A,67 min,Documentary,Philip Gardiner,Philip Gardiner,"Paul Hughes, Razor Keeves","Nostradamus predicted the rise of Hitler, the nuclear destruction of Hiroshima and 9/11. New research reveals further predictions that indicate more peril is on the horizon.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZWY2MmYxYzUtMDJmYS00Mjg4LWIxZjgtZGIxMzZhMWRhOGY1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}]",N/A,2.8,105,tt7805538,movie,N/A,N/A,N/A,N/A
2020 MTV Video Music Awards,2020,TV-14,30 Aug 2020,150 min,Music,"Dave Diomedi, Sam Wrench, Marc Bloomgarden","Steven Murphy, M. Dickson, Matt Flanders","Joey King, Lady Gaga, Drew Barrymore","The 2020 MTV Video Music Awards were held on August 30, 2020, in New York City. Keke Palmer hosted the ceremony.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNWUxMzk2M2YtYTg4OS00MTg4LWIxNGEtZDcyMjM4N2E0YWI5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,101,tt12617934,movie,N/A,N/A,N/A,N/A
Medicating Normal (2020),2020,N/A,01 Jan 2022,76 min,Documentary,"Lynn Cunningham, Wendy Ractliffe",N/A,Angela Peacock,Medicating Normal follows the stories of five subjects harmed by prescribed medications they believed would help them. It is the untold story of what happens when profit-driven medicine intersects with human beings in distress.,"German, English, French, Spanish, Japanese, Danish",United States,N/A,https://m.media-amazon.com/images/M/MV5BY2ViNDE1NjUtMjQxNi00NjZlLTgzNmYtOGUzNDFiY2FiMzI5XkEyXkFqcGdeQXVyOTgzMjQ5MTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,92,tt10553086,movie,N/A,N/A,N/A,N/A
Stephen Colbert's Election Night 2020: Democracy's Last Stand: Building Back America Great Again Better 2020,2020,TV-MA,03 Nov 2020,77 min,"Comedy, Talk-Show","Jim Hoskinson, Jake Plunkett, Ballard C. Boyd","Delmonte Bent, Michael Brumm, River Clegg","Stephen Colbert, Evelyn McGee, Madeleine Albright","Join Emmy® and Peabody Award-winning host Stephen Colbert as he returns to Showtime to host another election night special. Live from his virtual underground political bunker, Stephen will react in real-time as state-by-state resu...",English,United States,Won 1 Primetime Emmy. 2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNDk1NzJmMzktYzNhNS00N2I0LTg4NWUtMTI3OTFmYzViMTBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,90,tt13369836,movie,N/A,N/A,N/A,N/A
2020: A 1917 Parody,2020,N/A,03 Oct 2020,18 min,"Short, Comedy",Stephen Ford,Stephen Ford,"Colton Eschief Mastro, Michael Lieberman, Terika Jefferson",An adventure about two roommates who attempt to survive 2020.,English,United States,11 wins total,https://m.media-amazon.com/images/M/MV5BYzY5NmM0YTgtMGI2Ny00OTcwLWIyOGUtODU2ODU1Y2Q1YjU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,86,tt13110216,movie,N/A,N/A,N/A,N/A
The Choice 2020: Trump vs. Biden,2020,Not Rated,26 Oct 2020,114 min,"Documentary, Biography, History",Michael Kirk,"Michael Kirk, Mike Wiser","Will Lyman, Jeremiah Kissel, Mike McNally","In the midst of the historic coronavirus pandemic, economic hardship, rising unemployment, race riots and growing insecurity, U.S. citizens were called upon to choose between incumbent President Donald Trump and former Vice Presid...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmUwZWJjNjMtNzU0Mi00ODZhLTg5MmEtM2U4MWIzZTllMmUwXkEyXkFqcGdeQXVyNTM2NTg3Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,85,tt13432944,movie,N/A,N/A,N/A,N/A
2020: The Dumpster Fire,2021,N/A,07 Dec 2021,90 min,Documentary,Rod Webber,Rod Webber,"Rod Webber, Vermin Supreme, Fred Schultz",2020: The Dumpster Fire follows Rod Webber and his satirical campaign for president during the 2020 US Presidential Election then evolves like a shot in the night as the country erupts in multi-city protests against police violenc...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjBiMTIzODMtMDhhOS00NjI5LWJiYTItZjJkYTY5ZTJjMWI5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,83,tt15340094,movie,N/A,N/A,N/A,N/A
2020,2024,N/A,16 Mar 2024,87 min,"Comedy, Drama",Bobby Barbacioru,"Bobby Barbacioru, Gareth Brookes","Alexandra Bacaoanu, Cezar Curteanu, Silviu Geamanu",N/A,"Romanian, Italian, English",Romania,N/A,https://m.media-amazon.com/images/M/MV5BYmYyNTA1MGEtYWI0Ny00MjkxLTkyMzktNGQwYWY3OWZkZmNmXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,76,tt29939980,movie,N/A,N/A,N/A,N/A
Vegan 2020,2020,N/A,15 Dec 2020,51 min,Documentary,Klaus Mitchell,N/A,"Tedros Adhanom Ghebreyesus, Jacinda Ardern, David Attenborough","Covers the ever growing vegan movement and how it's best for the animals, human health, and the planet.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOTI3Zjc4ODAtMTgwZC00NjMzLTkyM2MtMzZkOGRiOGQ1MDE3XkEyXkFqcGdeQXVyNzEyNjI0MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,72,tt13653482,movie,N/A,N/A,N/A,N/A
American Music Awards 2020,2020,N/A,22 Nov 2020,N/A,Music,Glenn Weiss,"Barry Adelman, Jon Macks, Aeysha Carr","Megan Fox, Taraji P. Henson, Jennifer Lopez",N/A,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmYwODEzNDQtMjk3YS00OWQxLWI0NWYtYmY3Mzg5MDNjODZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,69,tt12737156,movie,N/A,N/A,N/A,N/A
All's Well Ends Well 2020,2020,N/A,25 Jan 2020,98 min,Comedy,Raymond Pak-Ming Wong,"Edmond Wong, Raymond Pak-Ming Wong","Raymond Pak-Ming Wong, Julian Cheung, Louis Cheung",The Yau brothers team up with fellow con artists the Lui sisters to scam an infamous mob boss.,"Cantonese, Mandarin",Hong Kong,N/A,https://m.media-amazon.com/images/M/MV5BNjcyNjEwNjAtODI4YS00NjMwLWE2ZTYtYTVhN2UyOWVmMGRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,66,tt11581556,movie,N/A,N/A,N/A,N/A
Ubisoft: Tipping Point 2020 - Watch Dog Legion,2020,N/A,12 Jul 2020,4 min,"Animation, Short",Alberto Mielgo,Alexander Kalchev,N/A,N/A,English,France,N/A,https://m.media-amazon.com/images/M/MV5BZjdiMzEzNjQtNDhiMC00ZDM5LWFkM2YtZjZiZmJkZDg0ODQ0XkEyXkFqcGdeQXVyMTMwMTkyMjk3._V1_SX300.jpg,[],N/A,N/A,60,tt16892672,movie,N/A,N/A,N/A,N/A
Graduate Together: America Honors the High School Class of 2020,2020,TV-PG,16 May 2020,60 min,"Family, Music","Hamish Hamilton, James B. Merryman","Amberia Allen, Toby Herman, Marissa Lee","LeBron James, Barack Obama, Zendaya","Artists, athletes, musicians, commencement speakers, influencers, and cultural icons will show their support for the High School Class of 2020.","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZjQ5NmZmZjQtYzc0NC00NWVkLWFlNGEtN2EzZWY5ZmUyYTBlXkEyXkFqcGdeQXVyNTk5NTQzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,59,tt12340128,movie,N/A,N/A,N/A,N/A
Dom and Adrian: 2020,2020,N/A,13 Dec 2020,33 min,Comedy,Christiaan Van Vuuren,Christiaan Van Vuuren,"Christiaan Van Vuuren, Nicholas Boshier, Adele Vuko","From the creators of Bondi Hipsters, this mockumentary special follows Dom and Adrian who are forced to redefine themselves creatively and philosophically if they're to survive the garbage fire that is 2020.",English,Australia,1 nomination,https://m.media-amazon.com/images/M/MV5BOGM1MmUyZDMtNjIzZS00MmU5LWE2MjAtZTIwYTlhNDI3MDgxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,57,tt13345810,movie,N/A,N/A,N/A,N/A
BET Awards 2020,2020,TV-14,28 Jun 2020,180 min,Music,"Glenn Weiss, Jonte, Matt Knutson","Amanda Seales, Mitchell Marchand, Jesse Collins","John David Washington, Jamie Foxx, Spike Lee","BET Awards 2020 is a ceremony hosted by Amanda Seales that celebrates the achievements of African-Americans in television, film, music and sports. The virtual ceremony airs June 28, 2020 on CBS and the Black Entertainment Televisi...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjI5NzIxZmMtMzYzNy00YWUxLTk3M2ItODcwYjkyZGMzYTAwXkEyXkFqcGdeQXVyODQ1NTk5OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,56,tt12368594,movie,N/A,N/A,N/A,N/A
100 Missions Surviving Vietnam 2020,2020,N/A,09 Nov 2020,44 min,"Documentary, History, War",N/A,Clare Nolan,"Robin Olds, Michael Hankins, Ed Rasimus","During the Vietnam War, US Air Force pilots who flew 100 combat missions could go home. The tension built relentlessly as they survived each sortie. This is the story of the survivors and the fallen.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTk1NTgwYzgtMGU5OS00YTEyLTg2ZmUtZTBhNzJkNWIxODhjXkEyXkFqcGdeQXVyMTI1MTc5NjIz._V1_SX300.jpg,[],N/A,N/A,55,tt13510312,movie,N/A,N/A,N/A,N/A
2020 Oscar Nominated Short Films: Animation,2020,N/A,31 Jan 2020,N/A,N/A,N/A,N/A,N/A,2020 Oscar Nominated Short Films Animation: * Hair Love * Dcera (Daughter) * Sister * Memorable * Kitbull.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BYTMzMmY1ZGYtOGYzMS00MzUyLTg5M2MtM2Q2Y2YyMjAwZGE2XkEyXkFqcGdeQXVyMjIzMTQ5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.3,52,tt11696984,movie,N/A,N/A,N/A,N/A
Restaurant Hustle 2020: All on the Line,2020,N/A,27 Dec 2020,84 min,N/A,"Guy Fieri, Frank Matson","Laurie Brian, Laney McVicker","Guy Fieri, Marcus Samuelsson, Maneet Chauhan","In this documentary from Executive Producer Guy Fieri, four of America's favorite chefs - Maneet Chauhan, Antonia Lofaso, Christian Petroni and Marcus Samuelsson - pick up the cameras and enlist the help of friends and family to d...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGM0NjYwMTAtZWY2Zi00ZjYxLThhM2ItNDBmN2JhZWI4Mzk3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,51,tt13370428,movie,N/A,N/A,N/A,N/A
Kinou Nani Tabeta? 2020 Happy New Year Special,2020,N/A,01 Jan 2020,N/A,Romance,"Kenji Katagiri, Kazuhito Nakae, Katsumi Nojiri","Naoko Adachi, Fumi Yoshinaga","Hayato Isomura, Meiko Kaji, Chan Kawai",The household of Shiro and Kenji is facing a financial crunch while they continue to maintain their ¥25000 budget. Wataru and Kohinata's lover's quarrel continues as usual What do they learn about their relationships through these...,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZjgzMDk4YWItODkzMS00ZjU2LTg3YjItNjk3NGQwMTU1ZjRmXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,48,tt21361714,movie,N/A,N/A,N/A,N/A
Pandemic 2020,2024,N/A,30 Sep 2024,90 min,"Drama, Thriller",Emilio Perrone,Emilio Perrone,"Fulvio Tagliente, Paolo Salvadeo, Emilio Perrone","The film explores the impact of the pandemic on people's lives, relationships, and mental health as they navigate through the challenges and uncertainties brought about by the global crisis.",Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BYTJiZmM3NzEtOGZjYS00ZGIxLTlhODQtNzliZGMwOGExMmFjXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,47,tt33371457,movie,N/A,N/A,N/A,N/A
2020: The Movie,2021,N/A,19 Mar 2021,2 min,"Short, Comedy",N/A,N/A,"Gary Barlow, Sanjeev Bhaskar, Russell Brand","After a year like no other, prepare for the biggest blockbuster movie NEVER made (yet) with 2020: The Movie. Part biopic, part disaster film, this new release turns movie stars into unlikely everyday British heroes.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNTIxYjdmODQtZDExZC00YzUwLTg5MzctNzQ0NTg3NmJlMDA1XkEyXkFqcGdeQXVyNzMwODg0MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,44,tt14292616,movie,N/A,N/A,N/A,N/A
Exhibition on Screen: Lucian Freud - A Self Portrait 2020,2020,N/A,14 Jan 2020,80 min,"Documentary, Biography",David Bickerstaff,N/A,Lucian Freud,"For the first time in history the Royal Academy of Arts in London, in collaboration with the Museum of Fine Arts in Boston, is bringing together Lucian Freud's self-portraits.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNjI4NTdkYzgtZjRjNC00OGE4LWI1Y2ItMTI3MjdhN2EwZGVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,44,tt11654024,movie,N/A,N/A,N/A,N/A
8th Round Pick(2020),2020,N/A,28 Jan 2020,101 min,"Drama, Sport",Brett Bortle,"Brett Bortle, Nick Henderson, Sean Robbins","Daniel Contois, Ali Froid, Jacob Hasting","Arriving home from the NFL draft Austin Aimes is a broken man returning to a broken town and a celebration he won't receive. As a top rated college quarterback it seemed Austin had a lock on the life he always wanted to live, but ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGRiZWNmZTQtMmMxMS00Y2E2LWFhMmItNjAyOWEyZWIzNzU3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,44,tt6118034,movie,N/A,N/A,N/A,N/A
